unified_sample_key	branch_A_sample_id	branch_B_sample_id	branch_C_sample_id	raw_file_name	raw_file_path	uuid	mapping_method	mapping_confidence	mapping_status	notes
69	69	69	69	28016f07-a161-43bc-954d-d5ad756bb40b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/28016f07-a161-43bc-954d-d5ad756bb40b.rna_seq.augmented_star_gene_counts.tsv	28016f07-a161-43bc-954d-d5ad756bb40b	Verified_Row_Order	High	Verified	Independent manifest-based mapping
70	70	70	70	e1f24215-12d6-400a-b527-cee0c4d7ef8a.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e1f24215-12d6-400a-b527-cee0c4d7ef8a.rna_seq.augmented_star_gene_counts.tsv	e1f24215-12d6-400a-b527-cee0c4d7ef8a	Verified_Row_Order	High	Verified	Independent manifest-based mapping
71	71	71	71	c47a6a50-b448-4736-b29d-bea454e28085.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/c47a6a50-b448-4736-b29d-bea454e28085.rna_seq.augmented_star_gene_counts.tsv	c47a6a50-b448-4736-b29d-bea454e28085	Verified_Row_Order	High	Verified	Independent manifest-based mapping
72	72	72	72	bdd0d102-23f1-4b2d-9080-4eb1c933ddd7.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/bdd0d102-23f1-4b2d-9080-4eb1c933ddd7.rna_seq.augmented_star_gene_counts.tsv	bdd0d102-23f1-4b2d-9080-4eb1c933ddd7	Verified_Row_Order	High	Verified	Independent manifest-based mapping
73	73	73	73	24178d00-81ec-4873-a319-0a329f3e71f2.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/24178d00-81ec-4873-a319-0a329f3e71f2.rna_seq.augmented_star_gene_counts.tsv	24178d00-81ec-4873-a319-0a329f3e71f2	Verified_Row_Order	High	Verified	Independent manifest-based mapping
74	74	74	74	f489cec9-6f4b-4364-b85a-d34cbc8c2015.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f489cec9-6f4b-4364-b85a-d34cbc8c2015.rna_seq.augmented_star_gene_counts.tsv	f489cec9-6f4b-4364-b85a-d34cbc8c2015	Verified_Row_Order	High	Verified	Independent manifest-based mapping
75	75	75	75	5eb967ae-6a4a-4109-948c-36f00dc471fe.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/5eb967ae-6a4a-4109-948c-36f00dc471fe.rna_seq.augmented_star_gene_counts.tsv	5eb967ae-6a4a-4109-948c-36f00dc471fe	Verified_Row_Order	High	Verified	Independent manifest-based mapping
76	76	76	76	0819aec9-9ebc-4446-9174-08d564d32fcd.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0819aec9-9ebc-4446-9174-08d564d32fcd.rna_seq.augmented_star_gene_counts.tsv	0819aec9-9ebc-4446-9174-08d564d32fcd	Verified_Row_Order	High	Verified	Independent manifest-based mapping
77	77	77	77	ee1a4754-896c-4f5d-bd4a-a7754f84abad.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ee1a4754-896c-4f5d-bd4a-a7754f84abad.rna_seq.augmented_star_gene_counts.tsv	ee1a4754-896c-4f5d-bd4a-a7754f84abad	Verified_Row_Order	High	Verified	Independent manifest-based mapping
78	78	78	78	80e02a48-6bbd-4e69-87f3-a27e51ca852b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/80e02a48-6bbd-4e69-87f3-a27e51ca852b.rna_seq.augmented_star_gene_counts.tsv	80e02a48-6bbd-4e69-87f3-a27e51ca852b	Verified_Row_Order	High	Verified	Independent manifest-based mapping
